Service Description,Service Classification,cleaned_text,encoded_label
"The JW Player is a platform designed for use by media professions in the transmission of video content. It provides tools for implementing audience growth strategies and monetizing content with ads. The JW Player Delivery API allows users to accelerate content transmission to destination sites or apps by bundling responses. Its response time optimization is anchored on CDN and short caching. Apart from generating JSON and RSS feeds for single content items and playlists the API also facilitates the transmission of images, single-line player embeds, tracks, and images.",Video,jw player is platform designed for use by medium profession transmission of video content it provides tool for implementing audience growth strategy monetizing content with ad jw player delivery api allows user accelerate content transmission destination site apps by bundling response it response time optimization is anchored cdn short caching apart from generating json r feed for single content item playlist api also facilitates transmission of image single line player embeds track image,18
"Sendicate is an email marketing application. Sendicate allows users to create and send email marketing campaigns and track data on opens and clicks. The Sendicate API allows developers to access and integrate the functionality of Sendicate with other applications. Some example API methods include retrieving contact lists, sending campaigns, and managing account information.",Email,sendicate is email marketing application sendicate allows user create send email marketing campaign track data open click sendicate api allows developer access integrate functionality of sendicate with other application some example api method include retrieving contact list sending campaign managing account information,1
"The GoPay REST API integrates payments into applications. It uses JSON formats and OAuth 2 authentication. With the API Available in English, Slovak, and Czech languages, developers can include payments in customized gateways.",Payments,gopay rest api integrates payment into application it us json format oauth authentication with api available english slovak czech language developer can include payment customized gateway,7
"one of the largest network-autonomous Internet phone services in Great Britain. The VoIP service allows consumers and business clients to make international calls at no cost and via the basic plan without basic fees or minimum rates. Their integration into commercial software, offering telephony and telephony administration to users directly, is also feasible. Website operators will find callback buttons and phone numbers featuring Click2Dial particularly helpful.",Telephony,one of largest network autonomous internet phone service great britain voip service allows consumer business client make international call no cost via basic plan without basic fee minimum rate their integration into commercial software offering telephony telephony administration user directly is also feasible website operator will find callback button phone number featuring clickdial particularly helpful,14
"LIBRIS is an online search service of the National Library of Sweden. Search national, academic, and several public libraries of Sweden for books, periodicals, articles, maps, posters, printed music, electronic resources, and more. The site and documentation are in Swedish. Use the Xsearch API to access data from the catalogs in MARC-XML, Dublin Core, JSON, RIS, MODS, and RDF formats.",Search,libris is online search service of national library of sweden search national academic several public library of sweden for book periodical article map poster printed music electronic resource more site documentation are swedish use xsearch api access data from catalog marc xml dublin core json ri mod rdf format,10
"The Paga Business REST API allows developers to access and integrate the functionality of Paga with other applications. Some example API methods include registering customers, transferring money, and managing payments. Paga is an online payment, banking, and airtime/data purchasing platform.",Payments,paga business rest api allows developer access integrate functionality of paga with other application some example api method include registering customer transferring money managing payment paga is online payment banking airtime data purchasing platform,7
"The service provides highly secure authentication that combines a conventional password entered by a user with a signal from an app registered to that user's mobile device. Similar services combine password entry with possession of a USB device or other single-purpose hardware, but this service takes advantage of the user's smart phone as a tool for confirming identity. API methods support creating a new authentication listing with the service for an application or updating an existing one. Methods also support creating or updating a client listing on a mobile device that corresponds to a service listing. Methods then support accessing the client listing to verify access to the authenticated resource.",Security,service provides highly secure authentication that combine conventional password entered by user with signal from app registered that user mobile device similar service combine password entry with possession of usb device other single purpose hardware this service take advantage of user smart phone a tool for confirming identity api method support creating new authentication listing with service for application updating existing one method also support creating updating client listing mobile device that corresponds service listing method then support accessing client listing verify access authenticated resource,11
"Use the Octopart Search API to query the Octopart database for parts. Octopart is a search engine for electronic parts. The Octopart Search API returns a JSON object with a response and also has an optional Javascript download. On the main site, you can search for parts, get a datasheet, price, availability listing, and then click a link to Buy Now.",eCommerce,use octopart search api query octopart database for part octopart is search engine for electronic part octopart search api return json object with response also ha optional javascript download main site you can search for part get datasheet price availability listing then click link buy now,19
"The Americas Cup Data API provide access to live streams of the race data for developers. The race data includes live race information and various instrument readings from the boats. Developers can access boat location, boat status, race status, mark rounding and more. Interested developers must request an API key by sending an email to opendata@americascup.com",Sports,america cup data api provide access live stream of race data for developer race data includes live race information various instrument reading from boat developer can access boat location boat status race status mark rounding more interested developer must request api key by sending email,13
"Hosca is a website that offers a number of simple games and services. This includes the BankFinder service, which enables users to locate banks within a selected radius of a given zipcode. This service is available directly on the website or via API. The API operates using SOAP calls issued in XML format.",Reference,hosca is website that offer number of simple game service this includes bankfinder service which enables user locate bank within selected radius of given zipcode this service is available directly website via api api operates using soap call issued xml format,8
"The MAS Interest Rates of Banks and Finance Companies, Monthly API allows users to access the average annual borrowing rates and lending rates that Singaporean financial institutions applied on customer deposits and debt instruments. Users can access historical and present data of year over year prime lending rates and banks savings deposits as well as 3-month, 6-month, and 12-month banks fixed deposits. It also shows annual interest rates of finance companies savings deposits and 3-month, 6-month, and 12-month finance companies fixed deposits. The interest rates that the API generate the average of rates provided by 10 leading banks and finance companies. This API sends and returns JSON-formatted requests and responses.",Financial,ma interest rate of bank finance company monthly api allows user access average annual borrowing rate lending rate that singaporean financial institution applied customer deposit debt instrument user can access historical present data of year over year prime lending rate bank saving deposit a well a month month month bank fixed deposit it also show annual interest rate of finance company saving deposit month month month finance company fixed deposit interest rate that api generate average of rate provided by leading bank finance company this api sends return json formatted request response,3
"The BTOP (Broadband Technology Opportunities Program) works on expanding broadband access across America. The BTOP API provides access to information on places that have been awarded PCC (Public Computer Center) funding or assistance by the government. This information can be viewed through a map on the website or retrieved programmatically by state, zipcode, or coordinates. The API is capable of retrieving this information in both JSON and XML format.",Government,btop broadband technology opportunity program work expanding broadband access across america btop api provides access information place that have been awarded pcc public computer center funding assistance by government this information can be viewed through map website retrieved programmatically by state zipcode coordinate api is capable of retrieving this information both json xml format,4
"A RESTful API that allows developers to implement automated phone verification, reverse phone number verification, automated calling and click to call services. Users must purchase API credits to use the service.",Telephony,restful api that allows developer implement automated phone verification reverse phone number verification automated calling click call service user must purchase api credit use service,14
"The Line Social REST operates as a social media platform for users that sign up for Line accounts. Subscribers can use the Line accounts to make or receive friend requests and communicate freely with their friends. The API supports a variety of communication formats that include messages, one-on-one and group chats, audio, and video as well as images. The RESTful API sends HTTP-formatted requests and returns JSON-formatted responses.",Social,line social rest operates a social medium platform for user that sign up for line account subscriber can use line account make receive friend request communicate freely with their friend api support variety of communication format that include message one one group chat audio video a well a image restful api sends request return json formatted response,12
"G-language Genome Analysis Environment (G-language GAE) is a set of Perl libraries for genome sequence analysis. It includes more than 100 original analysis programs and tends to focus on bacterial genome analysis. Programs are provided for identifying binding sites, analyzing nucleotide composition bias, analyzing the distribution of oligonucleotides, analyzing codons and predicted expression levels, and visualizing genomic information. These functions are offered via REST and SOAP APIs to promote interoperability with other programming languages and bioinformatics software tools.",Science,language genome analysis environment language gae is set of perl library for genome sequence analysis it includes more than original analysis program tends focus bacterial genome analysis program are provided for identifying binding site analyzing nucleotide composition bias analyzing distribution of oligonucleotides analyzing codon predicted expression level visualizing genomic information these function are offered via rest soap apis promote interoperability with other programming language bioinformatics software tool,9
"MailTracker provides real-time email tracking services that let users know when, where, on what devices, for how long, and how many times their emails have been viewed. MailTracker can provide such information for Gmail, Yahoo!, Google Apps Business, Hotmail, and custom SMTP accounts. Users can integrate with MailTracker via API.",Email,mailtracker provides real time email tracking service that let user know when where what device for how long how many time their email have been viewed mailtracker can provide such information for gmail yahoo google apps business hotmail custom smtp account user can integrate with mailtracker via api,1
"The Coconut API allows developers to integrate cloud video encoding into their projects and applications. Coconut can be used to encode a single video or thousands per day. There is less than one second of queue time between when a job is requested and the encoding process begins. Coconut supports multi-screen transcoding (Android, iOS, browsers, etc.) and Apple HTTP Live Streaming. Users can export their encoded video to any CDN.",Video,coconut api allows developer integrate cloud video encoding into their project application coconut can be used encode single video thousand per day there is le than one second of queue time between when job is requested encoding process begin coconut support multi screen transcoding android io browser etc apple http live streaming user can export their encoded video any cdn,18
"True Knowledge is a new class of Internet search technology aimed at improving the experience of finding known facts on the Web. The True Knowledge Answer Engine gives consumers instant answers to complex questions. Request information on any topic and get back results in a processable form. Early areas of strength include geographic knowledge, local time, and geolocation. Natural language questions can also be processed. View demos at their website.",Search,true knowledge is new class of internet search technology aimed improving experience of finding known fact web true knowledge answer engine give consumer instant answer complex question request information any topic get back result processable form early area of strength include geographic knowledge local time geolocation natural language question can also be processed view demo their website,10
"The collection of REST-based services allow creation and operation of applications using the resources of the U.S. National Energy Research Scientific Computing Center (NERSC). It supports High Performance Computing (HPC) applications via browser interaction for easy retrieval and aggregations of agency content. API methods handle initial authentication followed by application interactions through AJAX calls against a javascript library (newt.jx). In this way applications can upload, browse, and download files and manage a persistent storage repository. Methods also run UNIX commands and submit batch jobs for execution.",Science,collection of rest based service allow creation operation of application using resource of national energy research scientific computing center nersc it support high performance computing hpc application via browser interaction for easy retrieval aggregation of agency content api method handle initial authentication followed by application interaction through ajax call against javascript library newt jx this way application can upload browse download file manage persistent storage repository method also run unix command submit batch job for execution,9
"Fierce Payroll is a web-based payroll service for small to mid-sized businesses that helps employers meet compliance and infrastructure needs. The Fierce Payroll API enables users to import data directly into the Fierce Payroll system for processing. API functions include: Accessing account balance, submitting new deposit notifications, deposit searches, deposit statuses, submitting payment requests, accessing date range of payments, and payment searches. An account and API key are required with service.",Financial,fierce payroll is web based payroll service for small mid sized business that help employer meet compliance infrastructure need fierce payroll api enables user import data directly into fierce payroll system for processing api function include accessing account balance submitting new deposit notification deposit search deposit status submitting payment request accessing date range of payment payment search account api key are required with service,3
The Xverify API allows developers to integrate Xverify's real-time email verification platform into their applications or systems. It checks each email address to make sure the username is actually registered at the domain given. The platform comes with built-in fraud protection to make sure none of the addresses are from temporary accounts or linked to known fraudsters.,Email,xverify api allows developer integrate xverify real time email verification platform into their application system it check each email address make sure username is actually registered domain given platform come with built fraud protection make sure none of address are from temporary account linked known fraudsters,1
"Via a simple web service call, Voice Call connects any two phone numbers from the fixed and mobile communications network. Non-binding, simple and fast. No contract commitment, monthly charges and minimum revenue. Using the Telekom Voice Call API, CMS and ERP systems, desktop software and various applications can all be enhanced with telephony functions on a cross-platform basis. Use cases such as callback buttons or inbound/outbound calls directly from within the CRM system can be implemented just as quickly as the automation of systems via Voice, e.g., in order to reset passwords.",Telephony,via simple web service call voice call connects any two phone number from fixed mobile communication network non binding simple fast no contract commitment monthly charge minimum revenue using telekom voice call api cm erp system desktop software various application can all be enhanced with telephony function cross platform basis use case such a callback button inbound outbound call directly from within crm system can be implemented just a quickly a automation of system via voice order reset password,14
"The Champions League Live Scores REST API allows developers to access and integrate Europa League Live Scores with other applications. The main API methods are retrieving current season results, scorers, lineups, substitutes, events, and statistics with live updates for EUFA Champions League.",Sports,champion league live score rest api allows developer access integrate europa league live score with other application main api method are retrieving current season result scorer lineup substitute event statistic with live update for eufa champion league,13
"The Craft.ai API is an HTTP REST API that provides developers tools for using Craft.ai. Craft ai is an AI (Artificial Intelligence) engine created for developers, and is powered by a visual editor and the RESTful APIs. Users can add contextual and personalized automation in mobile, web and IoT applications.",Tools,craft ai api is http rest api that provides developer tool for using craft ai craft ai is ai artificial intelligence engine created for developer is powered by visual editor restful apis user can add contextual personalized automation mobile web iot application,15
"HeyStaks is a social search service that plugs in to Google, Bing, and Yahoo! to bring users more relevant results as they search. These results can be recommended to future searchers with similar queries, leading to a more personalized Web search experience. With the HeyStaks API, developers can integrate these community-curated stores of relevant pages into their applications and websites. The API allows developers to allow their users to contribute pages to staks and build their own stores of search knowledge, which can be distributed across the HeyStaks app ecosystem. Exposed functionality includes returning a User's information, returning the list of Staks that a User is a member of, and returning a User's list of buddies. The API uses RESTful calls and responses are formatted in XML and JSON.",Search,heystaks is social search service that plug google bing yahoo bring user more relevant result a they search these result can be recommended future searcher with similar query leading more personalized web search experience with heystaks api developer can integrate these community curated store of relevant page into their application website api allows developer allow their user contribute page staks build their own store of search knowledge which can be distributed across heystaks app ecosystem exposed functionality includes returning user information returning list of staks that user is member of returning user list of buddy api us restful call response are formatted xml json,10
"Oomnitza is an IT asset management service that allows users to manage assets in the cloud and access information on those assets from any mobile device or web browser. Oomnitza users can perform an inventory of all their IT assets, modify existing assets, track assets across multiple users and locations, push updates, and create service requests. Oomnitza comes with an advanced permissions system to control access to important data and functions.",Enterprise,oomnitza is it asset management service that allows user manage asset cloud access information those asset from any mobile device web browser oomnitza user can perform inventory of all their it asset modify existing asset track asset across multiple user location push update create service request oomnitza come with advanced permission system control access important data function,2
"Workday Web Services (WWS) provide developers with access to Workday is robust business services via standards-based web services. These web services provide operations for interaction with many critical areas of Workday, including benefits, organization, payroll, and recruiting. Currently, you must be a Workday customer or Certified Integration Partner in order to use WWS.",Enterprise,workday web service wws provide developer with access workday is robust business service via standard based web service these web service provide operation for interaction with many critical area of workday including benefit organization payroll recruiting currently you must be workday customer certified integration partner order use wws,2
"the service methods remote applications of fleet vehicles operating independently on highway other . it indicates the geographic locations of a tracked transport , the times of visits , the methods used , available fueling stations , etc . the service allows interact via that with garmin gps users services . api data support secure api and integration with affiliate systems . methods also support logging transit purchases and use as well as available fueling",Transportation,service method remote application of fleet vehicle operating independently highway other it indicates geographic location of tracked transport time of visit method used available fueling station etc service allows interact via that with garmin gps user service api data support secure api integration with affiliate system method also support logging transit purchase use a well a available fueling,16
"This REST API allows you to get all information about a Indian Super league Football (Soccer) season including; matches, teams, players, rounds and more. Roanuz is a software company specializing in AI, web and mobile apps.",Sports,this rest api allows you get all information about indian super league football soccer season including match team player round more roanuz is software company specializing ai web mobile apps,13
"The service provides analysis of genetic sequence data to identify those associated with biological features, known as annotations, that frequently appear together. It then ranks these sets of genes based on the statistical significance of the frequency of co-occurrence. The results indicate the strength of association between biological annotations and a research project's identified set of genes. API methods support analysis of statistical relationships between genetic sequences based on multiple repositories of data documenting statistical relationships. A request can specify the organism genome to be the focus of analysis along with the statistical algorithm and method to apply plus the gene sequence and set of biological annotations to consider. Results suggest statistical associations between those annotations within the specified sequences for the specified organism.",Science,service provides analysis of genetic sequence data identify those associated with biological feature known a annotation that frequently appear together it then rank these set of gene based statistical significance of frequency of co occurrence result indicate strength of association between biological annotation research project identified set of gene api method support analysis of statistical relationship between genetic sequence based multiple repository of data documenting statistical relationship request can specify organism genome be focus of analysis along with statistical algorithm method apply plus gene sequence set of biological annotation consider result suggest statistical association between those annotation within specified sequence for specified organism,9
"ForeignAssistance.gov provides information on U.S. foreign aid through the Foreign Assistance Dashboard, a joint initiative of the Department of State and the U.S. Agency for International Development. The ForeignAssistance.gov API provides a RESTful interface to the dashboard, allowing developers to filter data by type, format, country, sector, agency, and fiscal year in multiple ways.",Government,foreignassistance gov provides information foreign aid through foreign assistance dashboard joint initiative of department of state agency for international development foreignassistance gov api provides restful interface dashboard allowing developer filter data by type format country sector agency fiscal year multiple way,4
"The Phone.com API integrates virtual business phone functionalities such as HD Voice, conferencing, chat calls, group messaging, SMS, and Fax. The API can be used to make local, long distance, and international calls with a clear connection. The Phone.com API is REST based and returns information in JSON format. 3 pricing options are available and all plans include toll-free number, integrated mobile app and unlimited users.",Telephony,phone com api integrates virtual business phone functionality such a hd voice conferencing chat call group messaging sm fax api can be used make local long distance international call with clear connection phone com api is rest based return information json format pricing option are available all plan include toll free number integrated mobile app unlimited user,14
"SpinVox captures spoken messages and cleverly converts them into text. This speech to text service then delivers your message to your choice of an inbox, blog, wall, or space.",Tools,spinvox capture spoken message cleverly convert them into text this speech text service then delivers your message your choice of inbox blog wall space,15
"The service provides subscribers with access to the provider's Denial List service to highlight companies and locations prohibited from receiving exports of certain technologies and providers. The U.S. government restricts both individuals and companies from providing goods and services to some buyers in other countries, either specific buyers or any buyer in a restricted country. The denial list also applies to product categories with export licensing requirements, such as nuclear technologies. API methods support generation of a denial list of restricted buyers for specific products (either goods or services) located in particular countries. The API can return either summary or comprehensive denial listings.",Government,service provides subscriber with access provider denial list service highlight company location prohibited from receiving export of certain technology provider government restricts both individual company from providing good service some buyer other country either specific buyer any buyer restricted country denial list also applies product category with export licensing requirement such a nuclear technology api method support generation of denial list of restricted buyer for specific product either good service located particular country api can return either summary comprehensive denial listing,4
"The Biomolecular Interaction Network Database (BIND) is a database designed to store full descriptions of interactions, molecular complexes and pathways. The BIND data specification is available as ASN.1 and XML DTD. BIND SOAP is a web service providing end users with the ability to access functionality offered by the BIND Search Service through a remote API. This means that users can access and compute on BIND interaction, molecular complex, and pathway data directly within thier application.",Reference,biomolecular interaction network database bind is database designed store full description of interaction molecular complex pathway bind data specification is available a asn xml dtd bind soap is web service providing end user with ability access functionality offered by bind search service through remote api this mean that user can access compute bind interaction molecular complex pathway data directly within thier application,8
Flightwise's Flight Data API and PlaneXML allow developers to pull near real-time flight tracking data for flights in the US and surrounding areas. Also provides access to flight data on 141 million flights dating back to November of 2001.,Travel,flightwise flight data api planexml allow developer pull near real time flight tracking data for flight u surrounding area also provides access flight data million flight dating back november of,17
"The RESTful Chatter API provides access to Chatter feeds and social data such as users, groups, followers, and files. The Chatter API is similar to APIs offered by other companies with feeds, such as Facebook and Twitter. The API allows developers to integrate Chatter into a variety of applications such as mobile applications, intranet sites, and third-party Web applications.",Enterprise,restful chatter api provides access chatter feed social data such a user group follower file chatter api is similar apis offered by other company with feed such a facebook twitter api allows developer integrate chatter into variety of application such a mobile application intranet site third party web application,2
"Clarabridge provides sentiment and text analytics software. The Clarabridge API allows businesses to search, report on and analyze their documents, even those with unstructured data. Users can submit and process multiple verbatims for real-time determination of sentiment, classification of a verbatim, and stage the verbatim for future processing into the Clarabridge system. Public documentation of the XML API is not available but developers can contact the provider for further details.",Enterprise,clarabridge provides sentiment text analytics software clarabridge api allows business search report analyze their document even those with unstructured data user can submit process multiple verbatims for real time determination of sentiment classification of verbatim stage verbatim for future processing into clarabridge system public documentation of xml api is not available developer can contact provider for further detail,2
"8x8 is a company who specializes in services to fit the needs of businesses in the areas of voice, video, mobile, and unified communications. They offer a suite of APIs to couple your needs with the Virtual Contact Center offerings of 8x8. The Customer Relationship Management (CRM) API allows you to manage your contact center's interactions with customers of the Contactual Integration Suite. With the API you can develop applications to interact with the Virtual Contact Center's data such as: customer, case, follow-up and FAQ data. The API utilizes HTTP/HTTPS with support for GET, MODIFY, ADD, DELETE and LIST actions in XML formatting.",Telephony,is company who specializes service fit need of business area of voice video mobile unified communication they offer suite of apis couple your need with virtual contact center offering of customer relationship management crm api allows you manage your contact center interaction with customer of contactual integration suite with api you can develop application interact with virtual contact center data such a customer case follow up faq data api utilizes with support for get modify add delete list action xml formatting,14
"Msgme is a digital messaging and mobile marketing CRM platform. It allows businesses to create interactive dialogues with their customers through the use of SMS, MMS, QR Codes, voice and social channels. The API is a suite of services that give developers access to the full functionality of the platform. Developers can manipulate data across subscription lists, create or delete campaigns, manage subscribers, pull content from feeds, look up account keywords, retrieve voicemails and interact with the messaging system. The API uses HTTP calls and responses are formatted in XML.",Messaging,msgme is digital messaging mobile marketing crm platform it allows business create interactive dialogue with their customer through use of sm mm qr code voice social channel api is suite of service that give developer access full functionality of platform developer can manipulate data across subscription list create delete campaign manage subscriber pull content from feed look up account keywords retrieve voicemail interact with messaging system api us http call response are formatted xml,6
"trafficspaces is an other platform for publishers to sell advertising space and manage their advertising mobile . the access allows advertisers to create their manage ads ads the trafficspaces platform . the trafficspaces applications allows advertising to access and integrate the functionality of marketing with other applications . users example api methods access managing users , accessing account information , and mobile ad service and placements . available integrate that marketing can users functionality access other services applications documentation",Advertising,trafficspaces is other platform for publisher sell advertising space manage their advertising mobile access allows advertiser create their manage ad ad trafficspaces platform trafficspaces application allows advertising access integrate functionality of marketing with other application user example api method access managing user accessing account information mobile ad service placement available integrate that marketing can user functionality access other service application documentation,0
"BlueFolder is a service management software for small/medium field service organizations to track work orders, scheduling, billing, equipment, contracts, employees, and more. The BlueFolder API is an interface that you can use to programmatically interact with your BlueFolder account. For example, you can add appointments, customers, comments and more. The API is implemented using XML over HTTPS. The API is available to BlueFolder Premium Edition subscribers only.",Enterprise,bluefolder is service management software for small medium field service organization track work order scheduling billing equipment contract employee more bluefolder api is interface that you can use programmatically interact with your bluefolder account for example you can add appointment customer comment more api is implemented using xml over api is available bluefolder premium edition subscriber only,2
"JM Data Services specializes in products for retailers of rental movies and maintains a large database of movie information. It also provides the MovieApp API, which allows users to search for movies, retrieve information about them, check their availability at specific stores, and even reserve movies online. The API provides other functions as well, such as allowing users to maintain a list of favorite movies or find nearby stores.",Video,jm data service specializes product for retailer of rental movie maintains large database of movie information it also provides movieapp api which allows user search for movie retrieve information about them check their availability specific store even reserve movie online api provides other function a well such a allowing user maintain list of favorite movie find nearby store,18
"NYC Open Data is a collection of 750 New York City public datasets made available by city agencies and organizations. Some of the popular data includes parking facilities, federal stimulus expenditures and electric consumption by zip code. Also included are Open 311 service requests, health and education data.",Government,nyc open data is collection of new york city public datasets made available by city agency organization some of popular data includes parking facility federal stimulus expenditure electric consumption by zip code also included are open service request health education data,4
"Use TextMagic SMS to build your messaging app. The API uses HTTP GET methods with returns in JSON. An API Key is required for authentication. Use TextMagic SMS to send and receive text messages, analyze inbound and outbound messages, schedule recurring messages, and process bulk text messages. The API also offers methods for creating message templates, managing contacts and distribution lists, checking message statistics, and more. See the extensive API documentation to get started with the API and for information on obtaining an API Key.",Messaging,use textmagic sm build your messaging app api us http get method with return json api key is required for authentication use textmagic sm send receive text message analyze inbound outbound message schedule recurring message process bulk text message api also offer method for creating message template managing contact distribution list checking message statistic more see extensive api documentation get started with api for information obtaining api key,6
"this rest api restful you to scores a list of results world developers recent matches . it their provides recent developers for a team season . roanuz cricket api 's responses real time data on player and other metrics for live leagues including ; international ( icc ) , indian premier league ( ipl t20 ) , responses data live and scores . roanuz is a software company responses in ai , web and mobile apps . their allows methods information responses results their can more feeds api team api developers allows can",Sports,this rest api restful you score list of result world developer recent match it their provides recent developer for team season roanuz cricket api response real time data player other metric for live league including international icc indian premier league ipl response data live score roanuz is software company response ai web mobile apps their allows method information response result their can more feed api team api developer allows can,13
"Nuance, the company behind the speech recognition technology used with Apple's Siri, now offers a Siri-like API called Nina. Nina can be integrated into developer applications allowing the use of voice commands like Siri. In order to differentiate applications from others, developers can customize their Nina integration with different voices as well.",Tools,nuance company behind speech recognition technology used with apple siri now offer siri like api called nina nina can be integrated into developer application allowing use of voice command like siri order differentiate application from others developer can customize their nina integration with different voice a well,15
"This API allows you to integrate payments into your shopping cart with Authorize.Net. It provides a way for business to collect payment information and run transactions through the Virtual Terminal. This includes; Genius Certification Script, Implementation Review Outline, EMV Response message field and value documentation and more. Cayan is a leading provider of payment technologies and merchant account services.",Payments,this api allows you integrate payment into your shopping cart with authorize net it provides way for business collect payment information run transaction through virtual terminal this includes genius certification script implementation review outline emv response message field value documentation more cayan is leading provider of payment technology merchant account service,7
"Business.gov is an official site of the US government that helps small businesses understand their legal requirements, and locate government services supporting the nation's small business community. Business.gov's Web Service API provides methods for obtaining small business resources and geographic data used by Business.gov's core search tools including its state and local search engine, loans and grants search, and licenses and permits search. Using Business.gov's API, software developers can build new applications and mashups using authoritative information from Federal, state and local government agencies. The API is free of charge, does not require registration, and allows for unlimited calls. The Business.gov API is RESTful. Output formats are available in either XML or JSON.",Government,business gov is official site of u government that help small business understand their legal requirement locate government service supporting nation small business community business gov web service api provides method for obtaining small business resource geographic data used by business gov core search tool including it state local search engine loan grant search license permit search using business gov api software developer can build new application mashups using authoritative information from federal state local government agency api is free of charge doe not require registration allows for unlimited call business gov api is restful output format are available either xml json,4
"SlipSMS is a bulk SMS messaging service intended for use by small start-ups. It can send messages internationally to over 200 countries for a flat monthly rate, and its gateway can be accessed programmatically via REST API. The SlipSMS gateway allows users to handle administration, blacklisting, user creation, and more.",Messaging,slipsms is bulk sm messaging service intended for use by small start ups it can send message internationally over country for flat monthly rate it gateway can be accessed programmatically via rest api slipsms gateway allows user handle administration blacklisting user creation more,6
"The Neutrino Convert Currency API can be used to convert currency using an up-to-date international currency feed, including imperial, metric, mass, length, temperature, and time. API responses are available in JSON and XML formats. The Neutrino API platform provides tools for developers to address complex problems which crop up on almost all software projects.",Tools,neutrino convert currency api can be used convert currency using up date international currency feed including imperial metric mass length temperature time api response are available json xml format neutrino api platform provides tool for developer address complex problem which crop up almost all software project,15
"PeopleBrowsr is a social analytics service specializing in the measure of social influence. The Kredentials API returns rich data on any @name, including their most frequently used words and hashtags, top communities, connections and most frequently mentioned people. The API uses RESTful calls and responses are formatted in JSON.",Social,peoplebrowsr is social analytics service specializing measure of social influence kredentials api return rich data any name including their most frequently used word hashtags top community connection most frequently mentioned people api us restful call response are formatted json,12
Send targeted emails and monitor subscriber is by segments while sending personalized emails to segmented lists. This Json and XML based API allows you to customize and deliver large email campaigns using multiple SMTP relay servers of your choice.,Email,send targeted email monitor subscriber is by segment while sending personalized email segmented list this json xml based api allows you customize deliver large email campaign using multiple smtp relay server of your choice,1
